case_id	typed_key_codes	typed_key_strings	corrected_key_codes	corrected_key_strings	operation	confidence	behavior	stratum	note
KE000001	512	えぬふ	412	うぬふ	neighbor	high	suggest	length=short;position=initial;lexical=common;feature=kana_neighbor	unique multi-key evaluation trace derived from rule fixture
KE000002	390	あよわ	390	ぁよわ	kana_modifier	medium	suggest	length=short;position=medial;lexical=common;feature=small_kana	unique multi-key evaluation trace derived from rule fixture
KE000003	rt@	すか゛	rt[	すか゜	kana_modifier	medium	suggest	length=short;position=final;lexical=common;feature=kana_modifier	unique multi-key evaluation trace derived from rule fixture
KE000004	1as	ぬちと	2as	ふちと	neighbor	medium	suggest	length=short;position=initial;lexical=common;feature=kana_neighbor	unique multi-key evaluation trace derived from rule fixture
KE000005	6kl	おのり	7kl	やのり	neighbor	medium	suggest	length=short;position=medial;lexical=common;feature=kana_neighbor	unique multi-key evaluation trace derived from rule fixture
KE000006	cvq	そひた	cvw	そひて	neighbor	medium	suggest	length=short;position=final;lexical=common;feature=kana_neighbor	unique multi-key evaluation trace derived from rule fixture
KE000007	w/_	てめろ	e/_	いめろ	neighbor	medium	suggest	length=short;position=initial;lexical=common;feature=kana_neighbor	unique multi-key evaluation trace derived from rule fixture
KE000008	r78	すやゆ	t78	かやゆ	neighbor	medium	suggest	length=short;position=medial;lexical=common;feature=kana_neighbor	unique multi-key evaluation trace derived from rule fixture
KE000009	wei	ていに	weo	ていら	neighbor	medium	suggest	length=short;position=final;lexical=common;feature=kana_neighbor	unique multi-key evaluation trace derived from rule fixture
KE000010	aop	ちらせ	sop	とらせ	neighbor	medium	suggest	length=short;position=initial;lexical=common;feature=kana_neighbor	unique multi-key evaluation trace derived from rule fixture
KE000011	dhj	しくま	fhj	はくま	neighbor	medium	suggest	length=short;position=medial;lexical=common;feature=kana_neighbor	unique multi-key evaluation trace derived from rule fixture
KE000012	zxj	つさま	zxk	つさの	neighbor	medium	suggest	length=short;position=final;lexical=common;feature=kana_neighbor	unique multi-key evaluation trace derived from rule fixture
KE000013	z,.	つねる	x,.	さねる	neighbor	medium	suggest	length=short;position=initial;lexical=common;feature=kana_neighbor	unique multi-key evaluation trace derived from rule fixture
KE000014	x46	さうお	c46	そうお	neighbor	medium	suggest	length=short;position=medial;lexical=common;feature=kana_neighbor	unique multi-key evaluation trace derived from rule fixture
KE000015	^qn	へたみ	^qm	へたも	neighbor	medium	suggest	length=short;position=final;lexical=common;feature=kana_neighbor	unique multi-key evaluation trace derived from rule fixture
KE000016	4ui	うなに	4ui	ぅなに	kana_modifier	medium	suggest	length=short;position=initial;lexical=common;feature=small_kana	unique multi-key evaluation trace derived from rule fixture
KE000017	5fg	えはき	5fg	ぇはき	kana_modifier	medium	suggest	length=short;position=medial;lexical=common;feature=small_kana	unique multi-key evaluation trace derived from rule fixture
KE000018	:]6	けむお	:]6	けむぉ	kana_modifier	medium	suggest	length=short;position=final;lexical=common;feature=small_kana	unique multi-key evaluation trace derived from rule fixture
KE000019	7nm	やみも	7nm	ゃみも	kana_modifier	medium	suggest	length=short;position=initial;lexical=common;feature=small_kana	unique multi-key evaluation trace derived from rule fixture
KE000020	823	ゆふあ	823	ゅふあ	kana_modifier	medium	suggest	length=short;position=medial;lexical=common;feature=small_kana	unique multi-key evaluation trace derived from rule fixture
KE000021	0-9	わほよ	0-9	わほょ	kana_modifier	medium	suggest	length=short;position=final;lexical=common;feature=small_kana	unique multi-key evaluation trace derived from rule fixture
KE000022	tty	かかん	tty	がかん	kana_modifier	medium	suggest	length=short;position=initial;lexical=common;feature=dakuten	unique multi-key evaluation trace derived from rule fixture
KE000023	gsd	きとし	gsd	ぎとし	kana_modifier	medium	suggest	length=short;position=medial;lexical=common;feature=dakuten	unique multi-key evaluation trace derived from rule fixture
KE000024	l;h	りれく	l;h	りれぐ	kana_modifier	medium	suggest	length=short;position=final;lexical=common;feature=dakuten	unique multi-key evaluation trace derived from rule fixture
KE000025	:vb	けひこ	:vb	げひこ	kana_modifier	medium	suggest	length=short;position=initial;lexical=common;feature=dakuten	unique multi-key evaluation trace derived from rule fixture
KE000026	b_1	ころぬ	b_1	ごろぬ	kana_modifier	medium	suggest	length=short;position=medial;lexical=common;feature=dakuten	unique multi-key evaluation trace derived from rule fixture
KE000027	89q	ゆよた	89q	ゆよだ	kana_modifier	medium	suggest	length=short;position=final;lexical=common;feature=dakuten	unique multi-key evaluation trace derived from rule fixture
KE000028	aer	ちいす	aer	ぢいす	kana_modifier	medium	suggest	length=short;position=initial;lexical=common;feature=dakuten	unique multi-key evaluation trace derived from rule fixture
KE000029	zpa	つせち	zpa	づせち	kana_modifier	medium	suggest	length=short;position=medial;lexical=common;feature=dakuten	unique multi-key evaluation trace derived from rule fixture
KE000030	jkw	まのて	jkw	まので	kana_modifier	medium	suggest	length=short;position=final;lexical=common;feature=dakuten	unique multi-key evaluation trace derived from rule fixture
KE000031	sxc	とさそ	sxc	どさそ	kana_modifier	medium	suggest	length=short;position=initial;lexical=common;feature=dakuten	unique multi-key evaluation trace derived from rule fixture
KE000032	x./	さるめ	x./	ざるめ	kana_modifier	medium	suggest	length=short;position=medial;lexical=common;feature=dakuten	unique multi-key evaluation trace derived from rule fixture
KE000033	67d	おやし	67d	おやじ	kana_modifier	medium	suggest	length=short;position=final;lexical=common;feature=dakuten	unique multi-key evaluation trace derived from rule fixture
KE000034	rqw	すたて	rqw	ずたて	kana_modifier	medium	suggest	length=short;position=initial;lexical=common;feature=dakuten	unique multi-key evaluation trace derived from rule fixture
KE000035	pio	せにら	pio	ぜにら	kana_modifier	medium	suggest	length=short;position=medial;lexical=common;feature=dakuten	unique multi-key evaluation trace derived from rule fixture
KE000036	ghc	きくそ	ghc	きくぞ	kana_modifier	medium	suggest	length=short;position=final;lexical=common;feature=dakuten	unique multi-key evaluation trace derived from rule fixture
KE000037	f]z	はむつ	f]z	ばむつ	kana_modifier	medium	suggest	length=short;position=initial;lexical=common;feature=dakuten	unique multi-key evaluation trace derived from rule fixture
KE000038	vm,	ひもね	vm,	びもね	kana_modifier	medium	suggest	length=short;position=medial;lexical=common;feature=dakuten	unique multi-key evaluation trace derived from rule fixture
KE000039	342	あうふ	342	あうぶ	kana_modifier	medium	suggest	length=short;position=final;lexical=common;feature=dakuten	unique multi-key evaluation trace derived from rule fixture
KE000040	^-^	へほへ	^-^	べほへ	kana_modifier	medium	suggest	length=short;position=initial;lexical=common;feature=dakuten	unique multi-key evaluation trace derived from rule fixture
KE000041	-yu	ほんな	-yu	ぼんな	kana_modifier	medium	suggest	length=short;position=medial;lexical=common;feature=dakuten	unique multi-key evaluation trace derived from rule fixture
KE000042	dfb	しはこ	dfb	しはぽ	kana_modifier	medium	suggest	length=short;position=final;lexical=common;feature=handakuten	unique multi-key evaluation trace derived from rule fixture
KE000043	f;:	はれけ	f;:	ぱれけ	kana_modifier	medium	suggest	length=short;position=initial;lexical=common;feature=handakuten	unique multi-key evaluation trace derived from rule fixture
KE000044	vbn	ひこみ	vbn	ぴこみ	kana_modifier	medium	suggest	length=short;position=medial;lexical=common;feature=handakuten	unique multi-key evaluation trace derived from rule fixture
KE000045	122	ぬふふ	122	ぬふぷ	kana_modifier	medium	suggest	length=short;position=final;lexical=common;feature=handakuten	unique multi-key evaluation trace derived from rule fixture
KE000046	^90	へよわ	^90	ぺよわ	kana_modifier	medium	suggest	length=short;position=initial;lexical=common;feature=handakuten	unique multi-key evaluation trace derived from rule fixture
KE000047	-rt	ほすか	-rt	ぽすか	kana_modifier	medium	suggest	length=short;position=medial;lexical=common;feature=handakuten	unique multi-key evaluation trace derived from rule fixture
KE000048	as2	ちとふ	as1	ちとぬ	neighbor	medium	suggest	length=short;position=final;lexical=common;feature=kana_neighbor	unique multi-key evaluation trace derived from rule fixture
KE000049	2kl	ふのり	3kl	あのり	neighbor	medium	suggest	length=short;position=initial;lexical=common;feature=kana_neighbor	unique multi-key evaluation trace derived from rule fixture
KE000050	3cv	あそひ	2cv	ふそひ	neighbor	medium	suggest	length=short;position=medial;lexical=common;feature=kana_neighbor	unique multi-key evaluation trace derived from rule fixture
KE000051	/_3	めろあ	/_4	めろう	neighbor	medium	suggest	length=short;position=final;lexical=common;feature=kana_neighbor	unique multi-key evaluation trace derived from rule fixture
KE000052	478	うやゆ	378	あやゆ	neighbor	medium	suggest	length=short;position=initial;lexical=common;feature=kana_neighbor	unique multi-key evaluation trace derived from rule fixture
KE000053	4we	うてい	5we	えてい	neighbor	medium	suggest	length=short;position=medial;lexical=common;feature=kana_neighbor	unique multi-key evaluation trace derived from rule fixture
KE000054	op5	らせえ	op6	らせお	neighbor	medium	suggest	length=short;position=final;lexical=common;feature=kana_neighbor	unique multi-key evaluation trace derived from rule fixture
KE000055	6hj	おくま	5hj	えくま	neighbor	medium	suggest	length=short;position=initial;lexical=common;feature=kana_neighbor	unique multi-key evaluation trace derived from rule fixture
KE000056	7zx	やつさ	6zx	おつさ	neighbor	medium	suggest	length=short;position=medial;lexical=common;feature=kana_neighbor	unique multi-key evaluation trace derived from rule fixture
KE000057	,.7	ねるや	,.8	ねるゆ	neighbor	medium	suggest	length=short;position=final;lexical=common;feature=kana_neighbor	unique multi-key evaluation trace derived from rule fixture
KE000058	846	ゆうお	746	やうお	neighbor	medium	suggest	length=short;position=initial;lexical=common;feature=kana_neighbor	unique multi-key evaluation trace derived from rule fixture
KE000059	8^q	ゆへた	9^q	よへた	neighbor	medium	suggest	length=short;position=medial;lexical=common;feature=kana_neighbor	unique multi-key evaluation trace derived from rule fixture
KE000060	ui9	なによ	ui8	なにゆ	neighbor	medium	suggest	length=short;position=final;lexical=common;feature=kana_neighbor	unique multi-key evaluation trace derived from rule fixture
KE000061	9fg	よはき	0fg	わはき	neighbor	medium	suggest	length=short;position=initial;lexical=common;feature=kana_neighbor	unique multi-key evaluation trace derived from rule fixture
KE000062	0:]	わけむ	9:]	よけむ	neighbor	medium	suggest	length=short;position=medial;lexical=common;feature=kana_neighbor	unique multi-key evaluation trace derived from rule fixture
KE000063	nm0	みもわ	nm-	みもほ	neighbor	medium	suggest	length=short;position=final;lexical=common;feature=kana_neighbor	unique multi-key evaluation trace derived from rule fixture
KE000064	-23	ほふあ	023	わふあ	neighbor	medium	suggest	length=short;position=initial;lexical=common;feature=kana_neighbor	unique multi-key evaluation trace derived from rule fixture
KE000065	-0-	ほわほ	^0-	へわほ	neighbor	medium	suggest	length=short;position=medial;lexical=common;feature=kana_neighbor	unique multi-key evaluation trace derived from rule fixture
KE000066	ty^	かんへ	ty-	かんほ	neighbor	medium	suggest	length=short;position=final;lexical=common;feature=kana_neighbor	unique multi-key evaluation trace derived from rule fixture
KE000067	wsd	てとし	qsd	たとし	neighbor	medium	suggest	length=short;position=initial;lexical=common;feature=kana_neighbor	unique multi-key evaluation trace derived from rule fixture
KE000068	el;	いりれ	wl;	てりれ	neighbor	medium	suggest	length=short;position=medial;lexical=common;feature=kana_neighbor	unique multi-key evaluation trace derived from rule fixture
KE000069	vbe	ひこい	vbr	ひこす	neighbor	medium	suggest	length=short;position=final;lexical=common;feature=kana_neighbor	unique multi-key evaluation trace derived from rule fixture
KE000070	r_1	すろぬ	e_1	いろぬ	neighbor	medium	suggest	length=short;position=initial;lexical=common;feature=kana_neighbor	unique multi-key evaluation trace derived from rule fixture
KE000071	t89	かゆよ	r89	すゆよ	neighbor	medium	suggest	length=short;position=medial;lexical=common;feature=kana_neighbor	unique multi-key evaluation trace derived from rule fixture
KE000072	ert	いすか	ery	いすん	neighbor	medium	suggest	length=short;position=final;lexical=common;feature=kana_neighbor	unique multi-key evaluation trace derived from rule fixture
KE000073	ypa	んせち	tpa	かせち	neighbor	medium	suggest	length=short;position=initial;lexical=common;feature=kana_neighbor	unique multi-key evaluation trace derived from rule fixture
KE000074	yjk	んまの	ujk	なまの	neighbor	medium	suggest	length=short;position=medial;lexical=common;feature=kana_neighbor	unique multi-key evaluation trace derived from rule fixture
